Kp:0.400000,Ki:0.050000,Kd:2.000000
    60,     0, 147,    60,3.000,120.000,147
    60,     4, 167,    56,5.800,-8.000, 20
    60,    15, 171,    45,8.050,-22.000,  4
    60,    22, 182,    38,9.950,-14.000, 11
    60,    29, 191,    31,11.500,-14.000,  9
    60,    34, 204,    26,12.800,-10.000, 13
    60,    38, 218,    22,13.900,-8.000, 14
    60,    43, 229,    17,14.750,-10.000, 11
    60,    46, 244,    14,15.450,-6.000, 15
    60,    50, 255,    10,15.950,-8.000, 11
    60,    54, 255,     6,16.250,-8.000, 10
    60,    56, 255,     4,16.450,-4.000, 14
    60,    59, 255,     1,16.500,-6.000, 10
    60,    61, 255,    -1,16.450,-4.000, 12
    60,    62, 255,    -2,16.350,-2.000, 13
    60,    63, 255,    -3,16.200,-2.000, 13
    60,    64, 255,    -4,16.000,-2.000, 12
    60,    65, 255,    -5,15.750,-2.000, 11
    60,    65, 255,    -5,15.500,0.000, 13
    60,    66, 255,    -6,15.200,-2.000, 10
    60,    66, 255,    -6,14.900,0.000, 12
    60,    67, 255,    -7,14.550,-2.000,  9
    60,    67, 255,    -7,14.200,0.000, 11
    60,    67, 255,    -7,13.850,0.000, 11
    60,    68, 255,    -8,13.450,-2.000,  8
    60,    68, 255,    -8,13.050,0.000,  9
    60,    67, 255,    -7,12.700,2.000, 11
    60,    68, 255,    -8,12.300,-2.000,  7
    60,    68, 255,    -8,11.900,0.000,  8
    60,    67, 255,    -7,11.550,2.000, 10
    60,    68, 255,    -8,11.150,-2.000,  5
    60,    68, 255,    -8,10.750,0.000,  7
    60,    68, 255,    -8,10.350,0.000,  7
    60,    68, 255,    -8,9.950,0.000,  6
    60,    68, 255,    -8,9.550,0.000,  6
    60,    68, 255,    -8,9.150,0.000,  5
    60,    68, 255,    -8,8.750,0.000,  5
    60,    68, 255,    -8,8.350,0.000,  5
    60,    68, 255,    -8,7.950,0.000,  4
    60,    69, 255,    -9,7.500,-2.000,  1
    60,    68, 255,    -8,7.100,2.000,  5
    60,    68, 255,    -8,6.700,0.000,  3
    60,    69, 255,    -9,6.250,-2.000,  0
    60,    68, 255,    -8,5.850,2.000,  4
    60,    69, 255,    -9,5.400,-2.000,  0
    60,    69, 255,    -9,4.950,0.000,  1
    60,    68, 255,    -8,4.550,2.000,  3
    60,    69, 254,    -9,4.100,-2.000, -1
    60,    69, 254,    -9,3.650,0.000,  0
    60,    68, 255,    -8,3.250,2.000,  2
    60,    69, 253,    -9,2.800,-2.000, -2
    60,    69, 252,    -9,2.350,0.000, -1
    60,    69, 251,    -9,1.900,0.000, -1
    60,    68, 251,    -8,1.500,2.000,  0
    60,    68, 249,    -8,1.100,0.000, -2
    60,    69, 245,    -9,0.650,-2.000, -4
    60,    68, 245,    -8,0.250,2.000,  0
    60,    67, 245,    -7,-0.100,2.000,  0
    60,    67, 242,    -7,-0.450,0.000, -3
    60,    68, 236,    -8,-0.850,-2.000, -6
    60,    66, 236,    -6,-1.150,4.000,  0
    60,    66, 233,    -6,-1.450,0.000, -3
    60,    66, 229,    -6,-1.750,0.000, -4
    60,    65, 227,    -5,-2.000,2.000, -2
    60,    65, 223,    -5,-2.250,0.000, -4
    60,    64, 221,    -4,-2.450,2.000, -2
    60,    63, 220,    -3,-2.600,2.000, -1
    60,    63, 217,    -3,-2.750,0.000, -3
    60,    62, 216,    -2,-2.850,2.000, -1
    60,    61, 215,    -1,-2.900,2.000, -1
    60,    61, 212,    -1,-2.950,0.000, -3
    60,    60, 212,     0,-2.950,2.000,  0
    60,    60, 210,     0,-2.950,0.000, -2
    60,    60, 208,     0,-2.950,0.000, -2
    60,    59, 208,     1,-2.900,2.000,  0
    60,    59, 206,     1,-2.850,0.000, -2
    60,    58, 206,     2,-2.750,2.000,  0
    60,    58, 205,     2,-2.650,0.000, -1
    60,    58, 204,     2,-2.550,0.000, -1
    60,    57, 204,     3,-2.400,2.000,  0
    60,    57, 203,     3,-2.250,0.000, -1
    60,    57, 203,     3,-2.100,0.000,  0
    60,    56, 204,     4,-1.900,2.000,  1
    60,    56, 204,     4,-1.700,0.000,  0
    60,    56, 204,     4,-1.500,0.000,  0
    60,    56, 204,     4,-1.300,0.000,  0
    60,    56, 204,     4,-1.100,0.000,  0
    60,    56, 204,     4,-0.900,0.000,  0
    60,    56, 204,     4,-0.700,0.000,  0
    60,    56, 205,     4,-0.500,0.000,  1
    60,    55, 208,     5,-0.250,2.000,  3
    60,    56, 208,     4,-0.050,-2.000,  0
    60,    56, 209,     4,0.150,0.000,  1
    60,    56, 210,     4,0.350,0.000,  1
    60,    57, 210,     3,0.500,-2.000,  0
    60,    56, 214,     4,0.700,2.000,  4
    60,    57, 214,     3,0.850,-2.000,  0
    60,    57, 216,     3,1.000,0.000,  2
    60,    58, 216,     2,1.100,-2.000,  0
    60,    57, 220,     3,1.250,2.000,  4
    60,    58, 220,     2,1.350,-2.000,  0
    60,    59, 220,     1,1.400,-2.000,  0
    60,    58, 224,     2,1.500,2.000,  4
    60,    59, 224,     1,1.550,-2.000,  0
    60,    60, 224,     0,1.550,-2.000,  0
    60,    59, 228,     1,1.600,2.000,  4
    60,    61, 226,    -1,1.550,-4.000, -2
    60,    60, 229,     0,1.550,2.000,  3
    60,    61, 229,    -1,1.500,-2.000,  0
    60,    61, 230,    -1,1.450,0.000,  1
    60,    62, 229,    -2,1.350,-2.000, -1
    60,    61, 231,    -1,1.300,2.000,  2
    60,    62, 230,    -2,1.200,-2.000, -1
    60,    62, 230,    -2,1.100,0.000,  0
